Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
02/05/2023,HAPPY HEAD          LOS ANGELES         CA,79.00,"NT_NISNEZTR +18449624247
HAPPY HEAD
LOS ANGELES
CA
+18449624247",HAPPY HEAD          LOS ANGELES         CA,"11669 SANTA MONICA BLVD
SUITE 101","LOS ANGELES
CA",90025,UNITED STATES,'320230360617551988',Business Services-Health Care Services
02/05/2023,PEACOCK*28E0C PREMIUNEW YORK CITY       NY,1.99,"US NBCU PG  CABLE & PAY TV
PEACOCK*28E0C PREMIUM
NEW YORK CITY
NY
CABLE & PAY TV",PEACOCK*28E0C PREMIUNEW YORK CITY       NY,100 UNIVERSAL CITY PLZ,"UNIVERSAL CITY
CA",91608,UNITED STATES,'320230360614577437',Communications-Cable & Internet Comm
02/04/2023,AplPay DOORDASH*MCDOSAN FRANCISCO       CA,12.09,"NT_NIEB79US +16506819470
AplPay DOORDASH*MCDONALDS
SAN FRANCISCO
CA
+16506819470",AplPay DOORDASH*MCDOSAN FRANCISCO       CA,"303 2ND ST
SUITE 800","SAN FRANCISCO
CA",94107,UNITED STATES,'320230360601925073',Restaurant-Restaurant
02/04/2023,AplPay M & PIZZA    NEW YORK            NY,5.43,"deCX1e1TxDE squareup.com/receipts
AplPay M & PIZZA
NEW YORK
NY
squareup.com/receipts",AplPay M & PIZZA    NEW YORK            NY,625 9TH AVE,"NEW YORK
NY",10036,UNITED STATES,'320230350595717253',Restaurant-Restaurant
02/04/2023,FAIRWAY MARKET OF KINEW YORK            NY,6.78,"890598     198              10016
FAIRWAY MARKET OF KI
NEW YORK
NY
198              10016",FAIRWAY MARKET OF KINEW YORK            NY,550 2ND AVE,"NEW YORK
NY",10016,UNITED STATES,'320230360614584327',Merchandise & Supplies-Groceries
02/03/2023,AplPay FAIRWAY MARKENEW YORK            NY,14.92,"817886     193              10016
AplPay FAIRWAY MARKET OF KI
NEW YORK
NY
193              10016",AplPay FAIRWAY MARKENEW YORK            NY,550 2ND AVE,"NEW YORK
NY",10016,UNITED STATES,'320230350595260237',Merchandise & Supplies-Groceries
02/03/2023,AplPay NYCT PAYGO   NEW YORK            NY,2.75,"00656080250 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320230350588496064',Transportation-Rail Services
02/03/2023,AplPay NYCT PAYGO   NEW YORK            NY,2.75,"00656134337 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320230350588616644',Transportation-Rail Services
02/03/2023,AplPay NYCT PAYGO   NEW YORK            NY,2.75,"00656057510 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320230350589101980',Transportation-Rail Services
02/02/2023,AplPay BT*DD *DOORDASAN FRANCISCO       CA,20.17,"DH73TB87    8559731040
AplPay BT*DD *DOORDASH JUSTSALAD
SAN FRANCISCO
CA
8559731040",AplPay BT*DD *DOORDASAN FRANCISCO       CA,303 2ND ST STE 800,"SAN FRANCISCO
CA",94107,UNITED STATES,'320230330535991902',Restaurant-Restaurant
