Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
12/08/2022,UBER EATS           SAN FRANCISCO       CA,23.95,"Q7Q7A38B   L6JBRCSL
UBER EATS
SAN FRANCISCO
CA
L6JBRCSLForeign Spend Amount: 22.70 EURO Commission Amount:  Currency Exchange Rate: null",UBER EATS           SAN FRANCISCO       CA,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DB,NETHERLANDS (THE),'320223420277744649',Restaurant-Restaurant
12/08/2022,UBER TRIP           SAN FRANCISCO       CA,7.39,"074GKP8G   PUHFPEDN
UBER TRIP
SAN FRANCISCO
CA
PUHFPEDNForeign Spend Amount: 7.00 EURO Commission Amount:  Currency Exchange Rate: null",UBER TRIP           SAN FRANCISCO       CA,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS (THE),'320223420279403300',Transportation-Taxis & Coach
12/08/2022,UBER TRIP           SAN FRANCISCO       CA,49.00,"Q17W5DW6   IUG2S2TV
UBER TRIP
SAN FRANCISCO
CA
IUG2S2TVForeign Spend Amount: 46.44 EURO Commission Amount:  Currency Exchange Rate: null",UBER TRIP           SAN FRANCISCO       CA,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS (THE),'320223420280743530',Transportation-Taxis & Coach
12/08/2022,UBER TRIP           SAN FRANCISCO       CA,63.23,"E9H5HVV7   XFN6TKRL
UBER TRIP
SAN FRANCISCO
CA
XFN6TKRLForeign Spend Amount: 59.93 EURO Commission Amount:  Currency Exchange Rate: null",UBER TRIP           SAN FRANCISCO       CA,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS (THE),'320223430301367095',Transportation-Taxis & Coach
12/07/2022,GETYOURGUIDE TICKETSBERLIN              DE,104.30,"######2EvnK TOURIST ATTRACTION
GETYOURGUIDE TICKETS
BERLIN
DE
TOURIST ATTRACTIONForeign Spend Amount: 99.00 EURO Commission Amount:  Currency Exchange Rate: null",GETYOURGUIDE TICKETSBERLIN              DE,"71-75  SONNENBURGER STR.
BERLIN",,10437,GERMANY,'320223410264004045',Entertainment-General Attractions
12/05/2022,PEACOCK*E652B PREMIUNEW YORK CITY       NY,1.99,"US NBCU PG  CABLE & PAY TV
PEACOCK*E652B PREMIUM
NEW YORK CITY
NY
CABLE & PAY TV",PEACOCK*E652B PREMIUNEW YORK CITY       NY,100 UNIVERSAL CITY PLZ,"UNIVERSAL CITY
CA",91608,UNITED STATES,'320223390219924150',Communications-Cable & Internet Comm
12/05/2022,UBER EATS           SAN FRANCISCO       CA,9.28,"HG4TKND7   JFRHCTEI
UBER EATS
SAN FRANCISCO
CA
JFRHCTEIForeign Spend Amount: 8.80 EURO Commission Amount:  Currency Exchange Rate: null",UBER EATS           SAN FRANCISCO       CA,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DB,NETHERLANDS (THE),'320223390208651694',Restaurant-Restaurant
12/05/2022,UBER TRIP           SAN FRANCISCO       CA,31.89,"EBHRZVEC   72HPIFIF
UBER TRIP
SAN FRANCISCO
CA
72HPIFIFForeign Spend Amount: 30.09 EURO Commission Amount:  Currency Exchange Rate: null",UBER TRIP           SAN FRANCISCO       CA,"MR. TREUBLAAN 7
AMSTERDAM                 28",,1097 DP,NETHERLANDS (THE),'320223400231250154',Transportation-Taxis & Coach
12/04/2022,EPML BILLETTERIE INTPARIS CEDEX 01      FR,17.93,"947210707   telecollecte@louvre.f
telecollecte@louvre.fr
EPML BILLETTERIE INTERNET 110902378
PARIS CEDEX 01
FR
telecollecte@louvre.frForeign Spend Amount: 17.00 EURO Commission Amount:  Currency Exchange Rate: null",EPML BILLETTERIE INTPARIS CEDEX 01      FR,"34 QUAI FRANCOIS MITTERRAND
PARIS CEDEX 01",,75058,FRANCE,'320223380200629209',Entertainment-General Attractions
12/04/2022,UBER EATS           SAN FRANCISCO       CA,16.08,"MFCV3951   CUDIO4ED
UBER EATS
SAN FRANCISCO
CA
CUDIO4EDForeign Spend Amount: 15.25 EURO Commission Amount:  Currency Exchange Rate: null",UBER EATS           SAN FRANCISCO       CA,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DB,NETHERLANDS (THE),'320223390204611057',Restaurant-Restaurant
12/04/2022,UBER TRIP           SAN FRANCISCO       CA,10.18,"23M2P1N9   XVI4XLVX
UBER TRIP
SAN FRANCISCO
CA
XVI4XLVXForeign Spend Amount: 9.65 EURO Commission Amount:  Currency Exchange Rate: null",UBER TRIP           SAN FRANCISCO       CA,"MR. TREUBLAAN 7
AMSTERDAM                 28",,1097 DP,NETHERLANDS (THE),'320223390207210139',Transportation-Taxis & Coach
