Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
02/03/2023,Quatz,376.64,Schimmel-Lehner,Dabshots,01 Elka Plaza,CA,51867,United States,2226672972,Garden
01/15/2023,Topicblab,121.88,Klein-Doyle,Quaxo,0913 Carpenter Parkway,DC,52210,United States,1566720866,Music
01/22/2023,Nlounge,325.1,Sawayn-Stracke,Skynoodle,6965 Northland Crossing,MN,20405,United States,7852703606,Sports
01/14/2023,Dynazzy,406.89,Berge-Zulauf,Jabberbean,6 Carey Trail,WV,32330,United States,4529179894,Toys
01/13/2023,Viva,291.97,Abbott-Torp,Browsetype,56 Hallows Court,OH,35132,United States,3370343644,Clothing
02/02/2023,Kanoodle,298.14,"Collier, Runolfsson and Thiel",Dabfeed,1799 Granby Street,CT,54520,United States,2493045640,Jewelry
02/02/2023,Jatri,157.53,Lowe and Sons,InnoZ,7 Northview Parkway,NE,96778,United States,1829481691,Baby
01/16/2023,Yata,360.17,Haag-Bednar,Thoughtblab,21420 Johnson Drive,CO,46168,United States,6862130867,Games
01/31/2023,Plajo,355.48,Bogisich LLC,Meetz,6060 Briar Crest Avenue,CA,84297,United States,2401943576,Toys
01/26/2023,Twitterbeat,456.35,"Kessler, Nitzsche and Marks",Ntags,6440 Calypso Alley,AZ,42350,United States,8867648797,Industrial
01/28/2023,Bubblebox,421.32,Feeney Inc,Twitterbeat,760 Northland Park,CA,80112,United States,8818689705,Clothing
01/25/2023,Jabberbean,350.12,Nikolaus-Murray,Vidoo,6147 Aberg Hill,OH,45690,United States,4773466511,Clothing
01/10/2023,Oyope,119.72,"Sauer, Schinner and Ruecker",Skiba,9 Sunbrook Avenue,IL,48185,United States,1266955968,Industrial
01/27/2023,Agimba,292.42,"Hessel, McGlynn and DuBuque",Babbleopia,24 Summer Ridge Avenue,VA,72738,United States,9212025473,Garden
01/15/2023,Cogidoo,95.04,"Collier, Swift and Anderson",Brightbean,68 Forest Dale Place,IN,28633,United States,5053879720,Sports
01/15/2023,Meemm,349.06,Legros Inc,Yadel,9 Moulton Parkway,NV,30389,United States,9338358857,Kids
01/23/2023,Avamm,215.63,"Marquardt, Tremblay and Sawayn",Realblab,331 Twin Pines Place,FL,93554,United States,8930630109,Sports
01/27/2023,Shuffledrive,369.36,Kuvalis-Simonis,Roomm,4 Dunning Lane,TX,99300,United States,7376445040,Kids
01/22/2023,Eimbee,262.37,"Thiel, Brekke and Schumm",Zoomzone,7 Warrior Plaza,NY,91387,United States,2115286790,Electronics
01/20/2023,Meemm,493.95,Walker Inc,Reallinks,48 Melvin Drive,VA,56260,United States,4406567504,Toys
01/20/2023,Twitterworks,394.04,"Schuster, Waters and Hirthe",Yadel,8742 Goodland Hill,FL,85062,United States,9370959201,Home
01/19/2023,Oyoyo,57.67,"Mayer, Welch and Carroll",Skinder,78 Stephen Alley,DE,97692,United States,9408621851,Music
01/25/2023,Jetpulse,292.48,Wuckert-Howell,Geba,9 Monterey Court,AL,22610,United States,6269093995,Books
01/21/2023,Zoonder,268.02,Conn Inc,Latz,7448 Hansons Pass,NY,73690,United States,4519644148,Tools
01/30/2023,Voomm,78.05,Klocko-Koch,Jaloo,40 Sutteridge Circle,NC,75560,United States,1914734226,Shoes
01/12/2023,Fanoodle,97.77,Russel-Feest,Livetube,25 Rutledge Hill,TX,39874,United States,1169348414,Sports
02/05/2023,Vipe,64.84,Heidenreich-Pouros,Mita,56 Sheridan Circle,AL,89771,United States,7009404117,Electronics
01/15/2023,Ooba,230.42,"Turner, Rutherford and Rolfson",Trunyx,35 Mifflin Pass,CT,74488,United States,4770640045,Beauty
01/31/2023,Kaymbo,28.27,Haag-Haley,Demivee,64556 Kedzie Plaza,CA,78680,United States,3524423827,Jewelry
01/10/2023,Kwinu,423.76,Romaguera-Lowe,Jaxnation,5 Annamark Point,CO,18668,United States,1700762683,Beauty
02/02/2023,Shufflester,116.99,Stamm Inc,Skyble,5615 Victoria Plaza,GA,42571,United States,4411423235,Jewelry
02/05/2023,Quire,119.59,Botsford Inc,Skyba,36 Sunbrook Point,TX,18934,United States,1336361053,Tools
01/19/2023,Feednation,88.72,Crona and Sons,Blogtags,22202 Daystar Alley,DC,27466,United States,2533410606,Garden
01/24/2023,Centizu,404.8,Schuppe-Gislason,Yamia,2 Havey Avenue,IA,52366,United States,4268506002,Outdoors
02/04/2023,Twitterworks,322.85,Bradtke Group,Trilia,001 Burrows Park,WI,77445,United States,3161533451,Games
01/30/2023,Jabberstorm,354.16,"Stracke, Treutel and Carter",Brainlounge,92098 Ramsey Hill,DC,25855,United States,1328754294,Health
01/16/2023,Podcat,206.54,Pollich-Langosh,Skinte,8 Lawn Lane,FL,97929,United States,7556006867,Garden
01/10/2023,Photobean,302.99,Greenfelder-McClure,Jabberstorm,45 Dottie Avenue,TX,42003,United States,9151752641,Kids
01/15/2023,Eimbee,466.4,Abernathy-Mueller,Trilia,2 Forest Run Point,WI,63011,United States,4413170154,Toys
01/16/2023,Quatz,97.56,"Boehm, Weissnat and Hills",Quatz,3454 Laurel Junction,CO,33502,United States,2104710402,Home
01/18/2023,Photojam,362.15,Hirthe-Harvey,Oba,41 Mosinee Hill,DC,97617,United States,3169423276,Health
01/23/2023,Bluejam,384.87,"Murazik, Terry and Lebsack",Tambee,9076 Karstens Center,PA,85472,United States,9822186446,Tools
01/26/2023,Twimbo,37.2,Frami LLC,Photofeed,73 Lindbergh Trail,WI,35379,United States,3178141280,Jewelry
01/12/2023,Tanoodle,79.77,Reynolds LLC,Tanoodle,3 Eliot Point,IA,58682,United States,9583167499,Kids
01/12/2023,Agivu,447.75,"Vandervort, Ankunding and Schaefer",Abata,7 Lighthouse Bay Center,NE,80391,United States,9359255685,Grocery
01/15/2023,Midel,186.61,"Gutkowski, Von and Morissette",Gigaclub,83 Monica Point,IN,54602,United States,3472674083,Automotive
01/14/2023,Camido,118.95,Towne and Sons,Jazzy,09 Quincy Court,OH,93085,United States,9328315810,Computers
01/14/2023,Realblab,264.9,Von-Osinski,Edgewire,20 Dawn Street,TN,92798,United States,3136867789,Home
01/19/2023,Digitube,28.1,Green-Gleichner,Blogpad,8 Hintze Park,AZ,47131,United States,4456185776,Tools
01/10/2023,Dabshots,300.03,"Daniel, Leannon and VonRueden",Topicblab,9076 Rigney Avenue,NJ,31971,United States,8873935596,Books
01/21/2023,Chatterpoint,307.17,Kris-Prosacco,Dynazzy,7977 Moland Plaza,TX,11272,United States,2296419509,Industrial
01/24/2023,Livefish,341.98,Bailey LLC,Ailane,0 Oneill Avenue,NY,61619,United States,8988245308,Tools
01/26/2023,Oyope,27.23,"Casper, Bauch and Kautzer",Feedfish,31 Barnett Street,VA,64536,United States,6915705205,Jewelry
02/01/2023,Browsedrive,388.06,"Sauer, Olson and Greenholt",Realcube,83750 New Castle Avenue,PA,33239,United States,2904396715,Books
01/22/2023,Wordware,324.73,Nolan Group,Trilith,60853 Mcbride Street,OH,64936,United States,5017237491,Sports
01/19/2023,JumpXS,342.79,"Skiles, Kessler and Borer",Wikizz,75676 Evergreen Pass,TX,57078,United States,1779286955,Garden
01/22/2023,Yakitri,332.92,Nikolaus-Schmidt,Brightdog,0157 Larry Alley,OH,34824,United States,7312056663,Tools
01/29/2023,Agivu,43.44,Buckridge Inc,Jayo,22908 Crowley Road,DC,56208,United States,6946127469,Outdoors
01/11/2023,Voomm,241.44,"Schulist, Kris and Hayes",Skidoo,78 Farragut Road,CA,36951,United States,4555169600,Jewelry
01/16/2023,Jabbertype,222.35,Bergnaum-Gutmann,Oyoba,6 Merry Terrace,VA,75643,United States,8710996264,Health
02/02/2023,Wikizz,498.5,Rippin Inc,Yozio,06558 Pepper Wood Street,DC,57609,United States,4363753104,Jewelry
01/14/2023,Browseblab,35.2,O'Reilly-Hirthe,Zoomcast,7521 Superior Court,TN,56248,United States,7925811755,Clothing
01/30/2023,Mydeo,202.98,Smitham-Roob,Avavee,0773 Everett Way,OH,35405,United States,5232692486,Baby
01/23/2023,Youspan,325.29,Corwin-Beer,Babbleopia,2835 Farwell Hill,FL,41557,United States,3675017899,Health
01/20/2023,Dynabox,99.48,Okuneva LLC,Tagfeed,126 3rd Point,CO,28614,United States,7824444541,Beauty
01/25/2023,Reallinks,463.84,Orn-Buckridge,Avavee,5 Kim Court,WI,25126,United States,3737773499,Shoes
02/05/2023,Jetwire,360.72,"Rowe, Osinski and Terry",Meemm,458 Butterfield Park,MO,23573,United States,5669679271,Automotive
01/30/2023,Photojam,349.28,Luettgen LLC,Thoughtmix,3 Crownhardt Center,TX,53915,United States,5493210237,Beauty
01/20/2023,Mydo,423.13,Pagac-Deckow,Realbridge,92121 Ludington Trail,SD,36699,United States,3104985044,Music
01/31/2023,Thoughtsphere,327.06,"O'Connell, Ortiz and Blick",Browsetype,89 Tomscot Crossing,TX,60016,United States,2096378513,Home
01/21/2023,Wikizz,387.53,Larson and Sons,Realfire,8073 Raven Court,DC,41115,United States,4959494727,Computers
01/30/2023,Pixoboo,385.12,Langworth Group,Feedfish,07682 Stephen Court,MO,44926,United States,8246601653,Garden
